"strain","Exponential","Weibull","Gompertz","Logistic","best_model"
"anz.B",322.471043879136,211.914337513118,217.530494036352,211.75796621723,"Logistic"
"anz.C",319.928086656427,191.426689240953,198.232128946646,183.180875603764,"Logistic"
"bar.C",313.1853750932,231.814677334675,248.24901324537,213.825875790116,"Logistic"
"cam.B",327.376364240569,221.334463042086,228.844080333383,213.241820385688,"Logistic"
"cam.C",315.591238454629,216.270421819298,227.253746087113,204.452378884584,"Logistic"
"cas.B",327.435857080053,238.816264442779,251.227372170988,220.323160201351,"Logistic"
"cld.C",314.678195526959,216.885081987407,223.104324041236,215.242726734802,"Logistic"
"dwd.C",331.960051128323,227.071195253325,238.533122478743,214.801546130968,"Logistic"
"eds.C",327.729968540192,236.125990156644,244.526309268161,232.89159816842,"Logistic"
"elk.C",293.952954147996,193.504066684153,202.105192764557,186.656567890511,"Logistic"
"hhl.C",325.975054749738,217.435031059828,225.138202885528,211.610236278053,"Logistic"
"hwy.C",314.80436810895,202.872479918586,208.741365030132,200.65759396442,"Logistic"
"keh.B",323.160272114043,213.57500565012,219.467842600347,211.59281252585,"Logistic"
"keh.C",307.295918266296,204.257555760959,215.504468876915,191.134951475466,"Logistic"
"mch.A",324.40937150753,210.546955082939,217.401645935991,207.423741615857,"Logistic"
"mch.C",325.498879609234,224.846503800996,232.212739966905,219.429458006578,"Logistic"
"pat.C",320.615112052747,201.820771885392,207.10897294913,200.862975661517,"Logistic"
"prk.C",324.796937814474,199.645973659442,204.453054461481,199.321208348211,"Logistic"
"slv.C",320.170457721225,228.277741412643,236.881597134701,224.02366203185,"Logistic"
"stn.A",325.235318155852,194.277482254315,200.096727795629,191.145745072125,"Logistic"
"stn.C",321.016873843683,247.989652178481,261.211998946092,239.708706050777,"Logistic"
"tay.C",317.213510698257,212.081349023569,218.695604524997,208.568471176032,"Logistic"
"val.C",300.456522230029,205.151889241066,211.082901303393,203.132636155662,"Logistic"
"wan.C",313.115137155873,230.64189732537,242.22704020871,221.959647790303,"Logistic"
"wht.C",314.47098058692,198.364244076004,199.778575101188,200.926348763093,"Weibull"
"win.C",287.382563609451,192.642017292875,199.151761816984,187.595821185763,"Logistic"
"yng.C",318.099807701529,211.283769634268,216.841449338767,211.149392471954,"Logistic"
