"site","conduct","nutrient","degdays","area2_low","area2_med","area2_upp","life_low","life_med","life_upp","shapem_low","shapem_med","shapem_upp","shapef_low","shapef_med","shapef_upp","to_low","to_med","to_upp"
"anz",4.9416424226093,-0.221835823828267,6.48432984549698,5.2761731237027,5.51150750341412,5.73504850777405,19.4324272528501,20.1211441319669,20.830649603656,0.834540751703973,0.853853087244086,0.874051052677988,-0.591299027129814,-0.48625208215749,-0.382972840267897,13.7533853595103,14.1146249279361,14.4731115178062
"bar",6.45519856334012,-0.0883758731181833,6.36371752101003,4.91860036093658,5.16494398820606,5.39106268457143,19.1402563839929,20.0578313214654,21.0484445780413,0.802731148657495,0.834471952843961,0.861268091069877,-0.630136938884703,-0.484916490292907,-0.333253602630828,12.6002253408415,13.1230368445984,13.6017866903761
"cam",5.6021188208797,3.20246130948045,6.49767955831629,3.82514296026869,4.04807210675172,4.2585149739086,19.5898708090288,20.3182114535746,21.0071586312572,0.807719110597255,0.832276942117161,0.854073017502021,-0.379291255732959,-0.275439726403513,-0.175114845067717,11.9775803498361,12.327948394075,12.6759055840711
"cas",5.3890717298165,-1.12051918861254,6.44667174711096,5.31762655248096,5.59891562960629,5.87069340785153,20.4403908131221,21.4659337903646,22.437135620244,0.80254845002686,0.833931539596141,0.857291635998557,-0.366242674216124,-0.230844870119354,-0.0899160495996655,13.9064418547265,14.3940055806729,14.9326268734082
"cld",6.14846829591765,-1.54870628025099,6.77308037565554,5.49458344623156,5.72305099140316,5.94174502396765,17.8257686568131,18.7834214224914,19.718964410431,0.813815446587936,0.838869048279038,0.861831187930808,-0.708676580040814,-0.563815107597981,-0.41864316352829,11.7629795801759,12.2606173381374,12.751521279995
"del",7.19142933003638,0.708609735029247,6.61311572596286,4.43764445713161,4.66714452311659,4.90325509668067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dwd",5.8111409929767,2.17486631504083,6.52985669859178,3.94406357765381,4.1792444676272,4.41463718853068,21.6274740041048,22.6472187485967,23.6786630220668,0.817614384912539,0.843371365647498,0.871381048514434,-0.418194083114979,-0.290816402004308,-0.158019048865156,13.3514393191478,13.8349969371107,14.3349407786919
"eds",5.97380961186926,-1.26161265494914,6.18043064662061,5.62429904834404,5.85403424418776,6.08115116626421,20.47817690518,21.4598244366855,22.4792251331174,0.795890579133653,0.824382292083214,0.847524657634142,-0.87825645632867,-0.735794345127451,-0.589867794645772,14.5092030438083,15.0068690073493,15.5405898583954
"elk",6.00141487796115,-2.71346294324186,6.98388263936969,5.8407079414895,6.06702683319466,6.29977276903779,18.4179428667885,19.4603993435646,20.4941954641058,0.829575869448424,0.860132731235061,0.890455742870188,-0.499685371027718,-0.323251911136371,-0.147662763764266,10.8352926324843,11.5025184987899,12.1674121449433
"han",6.42648845745769,2.74565122706445,6.58105513950963,4.98907545058967,5.21543596856147,5.43271281902392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hhl",6.38012253689976,-1.12465285761359,6.46598919114764,4.02559260728046,4.23622772731366,4.47231940566047,20.1613569259203,21.110708539887,22.0908173776851,0.821547550755107,0.8452261463464,0.869464247680462,-0.577189443990558,-0.440996971738035,-0.308635536003948,13.2369034575577,13.7296541365544,14.2171562179506
"hwy",6.84587987526405,-0.721768953288441,6.3073695785035,4.85107879810972,5.21916339567849,5.62268758146779,17.8322796910115,18.7602669519334,19.7239998591568,0.825183200416805,0.844357432810057,0.868122200603868,-0.503907770385876,-0.372495426286223,-0.228360323397563,12.0755291628911,12.5737408001063,13.0651671305098
"keh",6.59441345974978,0.893135451940606,6.35140913991434,4.09869000737485,4.37724789533433,4.64499034703617,18.9734516254186,19.6781056375009,20.4149919607477,0.821152838625749,0.839818498656122,0.859817208128084,-0.561926448108164,-0.462222997982861,-0.356403535887307,12.1236080770431,12.5080987977544,12.853938224723
"mch",8.02059914989697,1.84342648118128,6.77308037565554,4.13304641889808,4.41010534135544,4.68935653102362,20.3589332229218,21.0556726095128,21.7248793463979,0.82958125514896,0.848707285055431,0.867988981048137,-0.384379365512718,-0.28402017363661,-0.185102779437414,12.2703219061963,12.6345953350731,12.9895696506599
"pat",7.94165125293056,3.065699559578,6.84768675251602,5.21237059458066,5.43202599949532,5.6515646342273,19.131392424119,20.1559120640603,21.1044288471004,0.838909525850279,0.859513058243099,0.882922463372861,-0.345362580190797,-0.210423721668638,-0.0718600570485243,13.2526253468669,13.7546394442003,14.2630244093119
"prk",5.80513496891649,-1.86979880985064,6.64326876413354,4.89754798059591,5.11406012646665,5.33263796868002,19.8875060849767,20.8542599400021,21.7922909544911,0.840779990459813,0.860921693900593,0.884315468306792,-0.50908626019015,-0.364884375871389,-0.220318666854485,12.6492981862935,13.1222753572431,13.6355410971865
"slv",6.04973345523196,-0.663429599660905,6.45141784050022,5.312903233112,5.55345731143945,5.78469891340755,18.9360301931818,19.8811117606109,20.8200365310828,0.801237251910503,0.829462160767851,0.848348623066018,-0.540056442398969,-0.406165369826965,-0.278716823754386,13.2587130876678,13.7584633795621,14.2608915231134
"stn",5.23110861685459,0.152484610945821,6.39659626631491,4.96324870630347,5.20021293017597,5.44645769403202,19.8738489274598,20.561714044718,21.2679009296198,0.799750833110531,0.831995444463373,0.856834396484263,-0.258548252190355,-0.152795446371426,-0.0516958595183606,11.8409361058042,12.2040006599047,12.5619081818329
"tay",7.08590146436561,1.23251216559618,6.61311572596286,4.49905662767962,4.73012283251878,4.96700551189224,20.109404478989,21.060887980695,22.0133168416735,0.824091645934807,0.846788843959665,0.868502734390382,-0.24097973135664,-0.0999876392180976,0.0475349738631823,9.31630627686098,9.82622627789843,10.3187623791623
"val",5.24702407216049,0.943940726094041,6.42551711206806,5.60990732429082,5.83468540488865,6.06599809382508,18.1564289658837,19.1710030161097,20.1384998065097,0.808577336198468,0.83292701514455,0.854350411238647,-0.577613384917207,-0.438300939340271,-0.290961633555349,12.1953691582253,12.7011018105628,13.2447135181592
"wan",5.26785815906333,-0.628917038021614,6.2911987005839,4.82815264582641,5.04877259379091,5.27292012377518,17.4478012687486,18.4576988196564,19.4230097090413,0.792391875282528,0.824455241377338,0.849454347668229,-0.701963210917107,-0.570553530699462,-0.432154271606726,10.9608138431304,11.4810847058288,12.0132421890755
"wht",6.4281052726846,-3.43140345262871,6.33327962813969,5.95956050507385,6.19004328593901,6.42425935790286,17.6023715758159,18.5786366042633,19.58825099637,0.820513089216814,0.843732621898817,0.867344126865715,-0.545252906664172,-0.398576338806132,-0.261076227921782,12.5206923153907,13.0194554889843,13.4867710585008
"win",7.19967834569117,-0.530599198090004,6.47558678803942,5.26794831983701,5.49436853810908,5.72527404778039,18.6699887355831,19.6438860106089,20.6230554603081,0.819791948205609,0.844407203095048,0.86717577504146,-0.793261067124991,-0.630897967841339,-0.480704658686672,10.9683013437398,11.5046086914317,12.0714523343763
"yng",5.40267738187228,-1.03770490879601,6.42551711206806,5.84271153285773,6.06070147095215,6.29013737312429,18.4443822300177,19.4413216457582,20.3938936964176,0.818424464084622,0.838946047502505,0.859718607915391,-0.782647301257332,-0.647452587735782,-0.512425513724758,12.3730386224225,12.853227614472,13.3659108315233
